DistCode,Year,StateCode,StateName,DistName,TotalPop1000,TotalMale1000,TotalFemale1000,TotalLITPop,MaleLITPop,FemaleLITPop,PerCapita1000,TotalPop,MALE_LIT,FEMALE_LIT,OVERALL_LIT,Per capita,TotalCrime,Crime_rate,GDPP
30,2011,6,Madhya Pradesh,Ujjain,1986.86,1016.29,970.58,1240.99,730.82,510.17,52,1986860,71.91057671,52.56341569,62.45986129,52000,8411,423.3312866,0.02617195
31,2011,6,Madhya Pradesh,Mandsaur,2166.48,1105.5,1060.97,1343.42,810.79,532.64,48,2166480,73.34147445,50.20311602,62.00934234,48000,3542,163.4910085,0.022155755
32,2011,6,Madhya Pradesh,Dewas,1563.72,805.36,758.36,925.37,550.72,374.65,51,1563720,68.38184166,49.40265837,59.17747423,51000,5434,347.5046684,0.032614535
33,2011,6,Madhya Pradesh,Dhar,2185.79,1112.73,1073.07,1077.34,638.48,438.86,46,2185790,57.37959793,40.89761153,49.28835798,46000,5547,253.7755228,0.021045023
34,2011,6,Madhya Pradesh,Jhabua,1754.05,877.56,876.49,561.83,335.49,226.35,18,1754050,38.22986462,25.82459583,32.03044383,18000,2028,115.6181409,0.010261965
35,2011,6,Madhya Pradesh,Khargone / West Nimar,3258.93,1652.46,1606.47,1536.16,889.07,647.09,38,3258930,53.8028152,40.28024177,47.13694372,38000,3874,118.8733725,0.011660269
36,2011,6,Madhya Pradesh,Khandwa / East Nimar,2067.91,1062.83,1005.07,1140.3,665.33,474.97,32,2067910,62.59985134,47.25740496,55.14263193,32000,2914,140.9152236,0.015474561
37,2011,6,Madhya Pradesh,Sehore,3682.39,1919.87,1762.52,2441.05,1389.52,1051.53,37,3682390,72.37573377,59.6605996,66.28982807,37000,4315,117.1793319,0.010047822
38,2011,6,Madhya Pradesh,Raisen,1331.6,700.36,631.24,820.22,479.09,341.13,33,1331600,68.40624822,54.04125214,61.59657555,33000,4172,313.3072995,0.024782217
39,2011,6,Madhya Pradesh,Vidisha,1458.88,769.57,689.31,862.92,512.34,350.57,31,1458880,66.5748405,50.85810448,59.14948454,31000,4651,318.8062075,0.021249177
40,2011,6,Madhya Pradesh,Betul,1575.36,799.24,776.13,939.77,529.78,409.99,39,1575360,66.2854712,52.82491335,59.65430124,39000,3278,208.0794231,0.024756246
